@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
33,'2018/02/16 19:21:55:109',2,0.792111,-0.249269,0.380735,0.017959,0.263407,0.156964,-0.115382,-0.240362,0.097549,0.232489,0.24227,0.504318,0.356936,2
34,'2018/02/16 19:21:55:275',2,0.104473,-0.261273,0.060086,0.063485,0.078739,0.04666,-0.103864,-0.126047,0.054048,0.252622,0.349936,0.510607,0.340877,2
35,'2018/02/16 19:21:55:443',2,0.529111,-0.019609,0.628499,0.273742,0.338947,0.231334,0.00783,0.07485,-0.019416,0.079869,0.306952,0.457768,0.271121,2
36,'2018/02/16 19:21:55:623',2,0.354555,-0.372157,0.185769,0.134571,0.403146,0.305715,0.231719,0.202151,0.104189,0.233313,0.383873,0.520481,0.262549,2
37,'2018/02/16 19:22:36:366',3,0.149566,0.285185,0.896555,0.119192,0.425477,0.275434,0.193589,0.363165,0.360188,0.298563,0.396657,0.441911,0.39968,3
38,'2018/02/16 19:22:36:538',3,-0.019655,0.182151,0.792053,0.220357,0.784666,0.590233,0.215222,0.23498,0.310165,0.277073,0.248475,0.215497,0.316941,3
39,'2018/02/16 19:22:36:704',3,0.016384,0.210027,0.75456,0.192104,0.625787,0.391371,0.385589,0.413281,0.380672,0.478243,0.499045,0.227804,0.258219,3
40,'2018/02/16 19:22:36:871',3,0.476796,-0.41589,0.151733,0.205197,0.317758,0.263667,0.305686,0.312104,0.254993,0.078081,0.134262,0.33943,0.166464,3
41,'2018/02/16 19:22:37:040',3,0.608538,-0.662514,0.341503,-0.014309,0.089602,-0.133416,-0.112344,-0.181855,0.167575,0.3843,0.579802,0.705181,-0.018008,3
42,'2018/02/16 19:22:37:209',3,0.76729,-0.484346,0.344252,0.039628,0.105571,-0.095516,-0.021153,-0.179336,0.247044,0.361856,0.539236,0.538828,0.067835,3
43,'2018/02/16 19:22:37:378',3,0.652628,-0.079207,0.442237,0.322435,0.516755,0.235272,0.111258,0.153439,0.047483,0.118792,0.183255,0.383466,0.361652,3
44,'2018/02/16 19:22:37:543',3,0.749488,-0.436117,0.268774,0.069719,0.286784,0.219557,0.3658,0.227006,0.244545,0.244913,0.281823,0.305647,0.229137,3
45,'2018/02/16 19:22:37:710',3,0.59877,-0.59857,0.211298,-0.039126,0.100682,-0.080639,-0.054253,-0.190772,0.205216,0.363596,0.596679,0.656611,0.06688,3
46,'2018/02/16 19:22:37:877',3,0.582749,-0.624339,0.163165,-0.083663,0.045653,-0.124453,-0.119987,-0.198503,0.163452,0.394597,0.539137,0.633296,0.113196,3
47,'2018/02/16 19:22:38:043',3,0.608481,-0.555162,0.251074,-0.018821,0.166852,-0.112156,-0.108753,-0.121115,0.181843,0.480092,0.531789,0.641183,0.08843,3
